dataset,epoch,batch,similarity_rate,filters,decoder_filter_reverse,kernel_sizes,ed_only,loss_history,similarity_history,reconstruction_history,model,recon,mse,mae,common_nn,common_nn_kmeans,rand_index
GunPoint,10,10,1e-05,"[64, 32, 16]",False,"[5, 5, 5]",False,"[14.594575, 1.6135437, 1.0899643, 0.835497, 0.68899393, 0.60287434, 0.5312855, 0.48808873, 0.44777057, 0.41096735]","[82.15175, 2.069298, 1.3812375, 0.98530126, 0.8306714, 0.7471579, 0.69575983, 0.6130255, 0.55170983, 0.50889826]","[14.593902, 1.6135395, 1.0899612, 0.83549523, 0.68899214, 0.6028727, 0.53128374, 0.48808748, 0.4477694, 0.41096628]",two_encoder,0.007566469523007173,0.9693590572464038,1.555531852851135,0.43333333333333335,3.3533333333333335,1.0
GunPoint,10,10,1e-06,"[64, 32, 16]",True,"[5, 5, 5]",False,"[14.633772, 2.0662282, 1.3439199, 0.9765735, 0.7705494, 0.64808506, 0.5528178, 0.49300817, 0.4432879, 0.40598616]","[70.56542, 1.7849839, 1.1943183, 0.8895187, 0.75686204, 0.69102424, 0.5950406, 0.59637606, 0.4524998, 0.4195167]","[14.633721, 2.0662282, 1.3439202, 0.9765735, 0.7705495, 0.6480849, 0.55281794, 0.49300817, 0.4432879, 0.4059862]",two_encoder,0.008375643378233868,2.136307143457856,6.388017387235473,0.4,3.62,1.0
GunPoint,10,10,1e-06,"[64, 32, 16]",False,"[5, 5, 5]",False,"[11.706731, 1.5127869, 0.9812658, 0.770081, 0.6644511, 0.5853472, 0.5150395, 0.47260365, 0.43387866, 0.4143657]","[91.09265, 2.1075203, 1.3818619, 1.0950662, 0.8809462, 0.759266, 0.67379636, 0.60585123, 0.50895834, 0.48053846]","[11.70665, 1.5127864, 0.9812651, 0.7700807, 0.6644509, 0.585347, 0.51503927, 0.4726036, 0.43387872, 0.41436574]",two_encoder,0.008206466400259143,1.511957240505951,3.1913664453762998,0.38666666666666666,3.546666666666667,1.0
GunPoint,10,10,1e-06,"[64, 32, 16]",True,"[5, 5, 5]",False,"[16.96215, 2.3434265, 1.4600879, 1.1173108, 0.8699969, 0.73067325, 0.6306085, 0.55505866, 0.49922484, 0.4515112]","[101.14749, 2.7680123, 1.9824638, 1.468853, 1.1819884, 1.0441338, 0.86909264, 0.7348066, 0.6998758, 0.64576644]","[16.962067, 2.3434262, 1.4600875, 1.1173106, 0.8699968, 0.73067313, 0.63060826, 0.5550584, 0.49922463, 0.45151106]",two_encoder,0.00845984859618121,1.1897286938785234,2.2681427492510102,0.4,3.6733333333333333,1.0
GunPoint,10,10,1e-06,"[64, 32, 16]",False,"[5, 5, 5]",False,"[15.517895, 1.9483166, 1.2023159, 0.88152266, 0.7259061, 0.6313, 0.55911773, 0.51521933, 0.47740668, 0.44036382]","[110.32718, 2.5050714, 1.5134597, 1.119496, 0.8654668, 0.7890143, 0.65801126, 0.6063494, 0.507703, 0.4853267]","[15.517797, 1.948316, 1.2023154, 0.8815223, 0.7259058, 0.63130003, 0.5591177, 0.51521915, 0.47740665, 0.4403638]",two_encoder,0.007473662201283049,0.8302785456314417,1.1736578233843362,0.44,3.5933333333333333,1.0
GunPoint,10,10,1e-06,"[64, 32, 16]",True,"[5, 5, 5]",False,"[17.953436, 2.2716222, 1.4447069, 1.0549577, 0.8086377, 0.6681462, 0.57543266, 0.51407623, 0.4646046, 0.42505538]","[119.48458, 2.7800024, 1.6146326, 1.2636858, 0.994135, 0.8446406, 0.748303, 0.63971, 0.5825775, 0.5371804]","[17.95333, 2.2716217, 1.4447067, 1.0549574, 0.80863744, 0.66814595, 0.57543254, 0.5140762, 0.46460444, 0.4250553]",two_encoder,0.0075333379720497655,1.2831912307098658,2.576803703087127,0.4266666666666667,3.3333333333333335,1.0
GunPoint,10,10,1e-06,"[64, 32, 16]",False,"[5, 5, 5]",False,"[14.628046, 1.7436744, 1.1637775, 0.8710172, 0.71585983, 0.63118625, 0.5562394, 0.5022528, 0.46559608, 0.44635996]","[72.0143, 1.8743597, 1.1966382, 0.9129925, 0.72982097, 0.65981066, 0.53820044, 0.46846154, 0.42059666, 0.5049429]","[14.62799, 1.7436743, 1.1637777, 0.8710171, 0.71585995, 0.6311863, 0.5562394, 0.50225276, 0.4655961, 0.4463599]",two_encoder,0.007543791050804978,0.8457182108334942,1.2800504508564081,0.44,3.56,1.0
GunPoint,10,20,0.0001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[12.708685, 1.6997482, 1.1754252, 0.94720274, 0.77176344, 0.6476822, 0.56275487, 0.49306196, 0.4376839, 0.39683247]","[81.19621, 1.8114762, 1.138929, 0.8796051, 0.727734, 0.5963283, 0.5229998, 0.4698255, 0.4040113, 0.36597997]","[12.701831, 1.6997372, 1.1754289, 0.94720984, 0.7717679, 0.64768744, 0.5627589, 0.49306428, 0.4376873, 0.3968356]",two_encoder,0.010314048041184111,2.039406550291412,5.8638187792912255,0.4,3.66,1.0
GunPoint,10,20,0.0001,"[64, 32, 16]",False,"[5, 5, 5]",False,"[10.66104, 1.318269, 0.8652118, 0.6805269, 0.54184145, 0.46853498, 0.41153345, 0.36073092, 0.33109945, 0.30157283]","[68.58081, 1.3203412, 0.9446348, 0.76698893, 0.5813844, 0.52256954, 0.46188137, 0.3963536, 0.3734578, 0.33445835]","[10.655246, 1.3182691, 0.865204, 0.6805183, 0.5418375, 0.46852967, 0.4115284, 0.36072728, 0.33109525, 0.3015696]",two_encoder,0.010173682989579692,1.6915371715092753,4.112174745556425,0.3933333333333333,2.8133333333333335,1.0
GunPoint,10,20,0.0001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[17.525402, 2.162339, 1.2763311, 0.99939, 0.82062167, 0.69474673, 0.58937377, 0.5016005, 0.43798515, 0.39536458]","[68.79716, 1.3219159, 0.9200779, 0.7142967, 0.59741163, 0.5353645, 0.47876638, 0.40967897, 0.37096506, 0.3605605]","[17.520271, 2.1624224, 1.276367, 0.9994187, 0.8206442, 0.6947627, 0.5893848, 0.50160974, 0.43799174, 0.39536816]",two_encoder,0.01635175684790941,0.7270771520290984,0.9075886149780856,0.38666666666666666,3.08,1.0
